country,rate_outgroup,r2_outgroup,rate_midpoint,r2_midpoint,rate_diff_root,subtype
Switzerland,0.011781027846316707,0.03938562610168627,-0.0016453315907336188,0.005808147661247213,0.013426359437050325,RSV-A
Taiwan,0.002045593873999872,0.08608146535306377,0.001310831584073734,0.0398811254928831,7.347622899261381e-4,RSV-A
Thailand,0.003217188362988185,0.822166986623027,4.001077152272027e-4,0.04916824954561564,0.002817080647760982,RSV-A
USA,6.456399324762409e-4,0.026739027890589854,0.0013572943042393433,0.15623001493798921,-7.116543717631024e-4,RSV-A
United Arab Emirates,-0.018529366756707185,0.07774111766123988,-0.007328707781296642,0.02238878014673148,-0.011200658975410543,RSV-A
United Kingdom,-0.003374141856449438,0.04328723413287729,0.0032868985382510747,0.31551919828137204,-0.006661040394700513,RSV-A
Viet Nam,0.004825047362886587,0.07520655173027921,0.0037721970596162916,0.4580698780121462,0.0010528503032702953,RSV-A
Zambia,0.013748768854049253,0.1586879856909684,0.005040304860614154,0.18038470915877247,0.008708463993435098,RSV-A
Argentina,0.003068261195013827,0.6421801971454839,0.0022271300828519483,0.6830700802531701,8.411311121618789e-4,RSV-B
Australia,0.002509068442940248,0.3144071747852054,0.0020536251598485765,0.37628643305865844,4.5544328309167145e-4,RSV-B
Austria,0.003224795130719908,0.1400640610143469,0.002084941248163402,0.5783547132589482,0.0011398538825565059,RSV-B
Belgium,-0.0017302788274397636,0.039953551219233836,0.0022982949240443243,0.057693481237319294,-0.004028573751484088,RSV-B
Brazil,0.0017684629997790976,0.4630992618790426,-0.0010606024858644217,0.23524098145625116,0.0028290654856435193,RSV-B
Canada,0.006758679474926218,0.06652832673046255,0.003326863555958918,0.02468559867325854,0.0034318159189673,RSV-B
China,0.0029062566450076366,0.5392301892241562,0.002704559353799795,0.5393463460120204,2.016972912078415e-4,RSV-B
Cote d'Ivoire,0.0034019041036465023,0.5841879492330956,0.0010575957429969543,0.15110312171847406,0.0023443083606495482,RSV-B
Cuba,0.003521923742565929,0.006056756521796567,0.005246509250622652,0.0312878566471378,-0.0017245855080567228,RSV-B
Finland,0.0010384433259985225,0.016395283943646435,5.035898197614733e-4,0.004308590321954097,5.348535062370492e-4,RSV-B
France,0.0012397982500965525,0.007543400483958684,0.0019078463594291693,0.1205099321914253,-6.680481093326168e-4,RSV-B
